[30-Jul-2015 14:45:57 Europe/Amsterdam] PHP Fatal error:  Allowed memory size of 268435456 bytes exhausted (tried to allocate 263454720 bytes) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/59b42f68f4b4da73c1bda3b69277377a on line 53
[30-Jul-2015 14:46:05 Europe/Amsterdam] PHP Fatal error:  Allowed memory size of 268435456 bytes exhausted (tried to allocate 263454720 bytes) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/59b42f68f4b4da73c1bda3b69277377a on line 53
[30-Jul-2015 17:41:13 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::active() in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/59b42f68f4b4da73c1bda3b69277377a on line 52
[30-Jul-2015 17:41:14 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::active() in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/59b42f68f4b4da73c1bda3b69277377a on line 52
[03-Aug-2015 13:30:42 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '')): ?>' (T_CONSTANT_ENCAPSED_STRING) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/c8b849a165c11a162eb4ed56c5ad4d3b on line 64
[03-Aug-2015 13:32:08 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '')): ?> */ ?>' (T_CONSTANT_ENCAPSED_STRING) in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/c8b849a165c11a162eb4ed56c5ad4d3b on line 64
[03-Aug-2015 15:23:08 Europe/Amsterdam] PHP Parse error:  syntax error, unexpected '@' in /home/id00005/domains/digitusmarketing.nl/storage/framework/views/e7aec035e73195bbdeb497e1691d1a89 on line 46
[11-Aug-2015 14:08:07 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:08:09 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:09:09 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:09:40 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:10:04 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:11:10 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:11:46 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[11-Aug-2015 14:12:15 Europe/Amsterdam] PHP Fatal error:  Call to undefined method Barryvdh\Omnipay\Facade::gateway() in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Support/Facades/Facade.php on line 210
[12-Aug-2015 14:06:05 Europe/Amsterdam] PHP Fatal error:  Class 'Hyperized\Wefact\WefactServiceProvider' not found in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Foundation/ProviderRepository.php on line 150
[12-Aug-2015 14:08:56 Europe/Amsterdam] PHP Fatal error:  Class 'Hyperized\Wefact\WefactServiceProvider' not found in /home/id00005/domains/digitusmarketing.nl/vendor/laravel/framework/src/Illuminate/Foundation/ProviderRepository.php on line 150
[12-Aug-2015 14:21:47 Europe/Amsterdam] PHP Fatal error:  Class 'App\Http\Controllers\Hyperized\Wefact\Product' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
[12-Aug-2015 15:00:15 Europe/Amsterdam] PHP Fatal error:  Call to undefined function hyperized\wefact\product() in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
[12-Aug-2015 15:00:23 Europe/Amsterdam] PHP Fatal error:  Undefined constant 'Hyperized\Wefact' in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
[12-Aug-2015 15:00:45 Europe/Amsterdam] PHP Fatal error:  Undefined constant 'Wefact' in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
[12-Aug-2015 15:06:22 Europe/Amsterdam] PHP Fatal error:  Class 'Hyperized\Wefact\WeFactAPI' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
[12-Aug-2015 15:06:59 Europe/Amsterdam] PHP Fatal error:  Class 'Hyperized\Wefact\WeFactAPI' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
[12-Aug-2015 15:08:00 Europe/Amsterdam] PHP Fatal error:  Class 'App\Http\Controllers\Hyperized\Wefact\Product' not found in /home/id00005/domains/digitusmarketing.nl/app/Http/Controllers/HomeController.php on line 38
